User,UPH,Total Units,IPH,Total Items,TIS,%TIS
b374813,106.3 / hour,697,70.3 / hour,461,23,5.0%
b399617,132.9 / hour,358,96.6 / hour,260,22,8.5%
b575129,143.1 / hour,529,97.9 / hour,362,6,1.7%
f199327,184.1 / hour,458,124.2 / hour,309,7,2.3%
g444698,115.4 / hour,463,69.5 / hour,279,5,1.8%
g585396,115.0 / hour,365,79.1 / hour,251,9,3.6%
l411561,106.8 / hour,407,78.7 / hour,300,7,2.3%
m739655,117.3 / hour,1346,79.8 / hour,916,14,1.5%
p640711,109.1 / hour,1523,77.5 / hour,1083,15,1.4%
s710171,120.1 / hour,1877,77.7 / hour,1215,22,1.8%
z492258,109.3 / hour,421,65.2 / hour,251,4,1.6%
